Title,Article,Rating
10 things you need to know in markets today,"REUTERS/Huseyin Aldemir A man is silhouetted against a giant Turkish flag in Istanbul airport, Turkey, July 16, 2016, following the failed coup in the country last week. Good morning! Here's what you need to know in markets at the start of the week. Japan's SoftBank has agreed to buy ARM Holdings for 23.4 billion ($31 billion), the Financial Times reports on Monday, citing two people familiar with the negotiations.  FTSE 100-listed ARM, which provides technology for the iPhone, is a major presence in mobile processing, with its processor and graphics technology used by Samsung, Huawei, and Apple in their in-house designed microchips. Royal Bank of Scotland is in a strong position despite the Brexit vote, according to its CEO. Ross McEwan told the Guardian in an interview: ""This is not a banking crisis ... We've got plenty of liquidity. We're open for business. We've got plenty of money to lend."" Asian stock markets are pretty steady overnight. China's benchmark Shanghai Composite index is down 0.11% at the time of writing (6.30 a.m. BST/1.30 a.m. ET), Japan's Nikkei is up 0.68%, and the Hong Kong Hang Seng is up 0.12%. Britain's biggest companies are beset by doubts about the future after last month's vote to leave the European Union and have slashed their investment plans, according to a survey on Monday that bodes poorly for the economy. Some 82% of CFOs from FTSE 350 and large private companies expect to cut capital spending in the next year, the biggest proportion on record and up from 34% in the first quarter, accountancy firm Deloitte said. The number of shoppers heading to British high streets and retail centres fell at the fastest pace in more than two years in June, with the weeks around the country's vote to leave the EU hit particularly hard, a survey found. Retail footfall across Britain was 2.8% lower than a year earlier in the five weeks from May 29 to July 2. This was the sharpest decline since February 2014 and down from a 0.3% increase in May, a survey from the British Retail Consortium (BRC) showed on Monday. Central London homes are undergoing a wave of discounting as sellers give up on their previous asking prices after the Brexit vote. The Financial Times reports that the number of cuts to asking prices surged by 163% in the 12 days following the referendum compared with the 12 days beforehand, according to figures from LonRes, a research firm. But recruitment specialist Reed Group says demand for new staff has flourished since the referendum, with 150,000 more jobs added to its website in the past three weeks compared with the same period last year. The Mail on Sunday reports that James Reed, chairman of the 1 billion-plus turnover group, said the 8% increase was a sign that it was ""business as usual"" despite fears that job vacancies could drop. Andy Haldane, the chief economist of the Bank of England, gave a speech in Port Talbot, Wales, in which he described how his thinking about economic inequality in the UK has changed since the 2008 crisis. ""So far at least, this has been a recovery for the too few rather than the too many, a recovery delivering a little too little rather than far too much,"" he said. ExxonMobil has made a bid worth at least $2.2 billion (1.6 billion) for Papua New Guinea-focused InterOil, winning the support of InterOil and topping an offer from Oil Search. ExxonMobil's move pits it against French giant Total SA, which is backing Oil Search's offer with an agreement to buy part of InterOil's stake in the potentially lucrative Elk-Antelope gas field. Dan Cobley, the former Google UK MD who now leads the fintech practice at London-based venture builder Blenheim Chalcot, nails why more and more fintech startups are partnering with big banks rather than competing with them. ""I think there's been a recognition that the cost of acquisition has been way too high for there to be a reasonable payback for most products and services,"" he told BI. ""You can get to that scale much more quickly by partnering with a big business.""   NOW WATCH: These are the watches worn by the smartest and most powerful men in the world      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', 'N3NGJ0djpb_DdQzkXVopAvbq5AmmiuOx',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
SK Telecom-Helio-Virgin Mobile Deal Done; Helio To Be Injected Into VMUSA: Report,"So reports FT this evening , citing sources. We first broke the news on the deal talks last month, and after hiccups in valuation and other issues, the deal has been signed in principle and that an announcement could be made as early as this week. The deal will include Helio, now majority owned by SK Telecom (NYSE: SKM), injected into Virgin Mobile USA (NYSE: VM), and better-recognized Virgin brand will be retained. VMUS, which did its IPO on NYSE last October, will issue new shares, leaving SK Telecom holding close to 20 percent of the equity of the enlarged business, which will be worth about $50 million, the story says. SKT will also invest a nominal amount of cash in VMUSA. Virgin has about 5.1 million mobile customers, all of whom are on pay-as-you-go dealsHelio has about 200K, all post-paid. Will this deal make any material difference to VMUSAs chances of surviving in the long term? It will certainly give it some cash, and the Korean expertise in handset and advanced mobile service, for whatever that is worth. It will also give VM an entry into higher end handsets, higher ARPU customers, and better UI that comes with Helio, if they decide to use that. Distribution and still-relatively smaller scale remains an issue Possibly the best analysis and rationale of a merger comes from one of our commenters, who posted this in response to a previous post on Helio store closures: 1. Savings in operations by merging overlapping areas such as IT. This can reduce Helio",
"Reed Business Information: Online Sales Manager, LA","(reg. req.): This position will be responsible for selling online ads and sponsorships on all of the Reed Entertainment websites, which include Variety.com, MultichannelNews.com and BroadcastingandCable.com for the West Coast territory.",
Handmark Acquires UK Mobile Game Maker Astraware,"Kansas City-based mobile content and delivery firm Handmark will acquire Astraware , a developer and publisher of casual games for smartphones. UK-based Astraware will add titles such as Astraware Sudoku and Astraware Solitaire to Handmarks existing catalog. The goal is to create synergies between Astrawares collection of games and Handmarks distribution capabilities. Handmarks key offering is its Pocket Express mobile portal, which brings together search, news, ringtones and other services. Terms of the acquisition, which is expected to close later this month, were not disclosed. Release . Disclosure: Handmark board member Alan Patricoff is an investor in our parent company.",
"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC","India will remain the worlds fastest growing IT market in 2016 and we expect this to continue drive growth for Cisco and our partners. Core Strength as a Leader Bren Brown says Its not about winning. Its not about losing. Its about the courage to show up when there are no guarantees. And I feel thats the most important characteristic for any leader to be successful. If the choice is between comfort and courage or between the side-lines and making a difference; I prefer the latter. Distinctive Decision Making Partnerships are more important now than ever. Theres a challenge and opportunity in front of us and we have to change the way we do things. Over the years, I have realized that partners prefer to work with a vendor who invests in their overall growth. In addition to this, partners want to move into new markets and expect the vendor to help them move up the value chain. Its also the vendors responsibility to create new market leads, generate demand and enable partners to capitalize on new market opportunities. We believe in empowering our partners to move up the value chain to become a solutions provider in their own right. Over the past few quarters, we have significantly increased our channel efforts to augment partner capabilities by providing leading practices, tools, and knowledge transfer, which in turn enable them to have more repeatable, successful, and profitable customer engagements. Vision on Indian IT In India we are seeing the rapid convergence of mobile, social, data and cloud which is in turn driving the digital disruption in the country. Already today you can book a cab from your phone, do a money transfer over Whatsapp or order groceries online. The Internet of Everything and the enabling of digital disruption is the biggest disruption today. From the digitisation of the country to digitisation of industries where consumers will access services and products digitally to the social innovation of delivering affordable and efficient healthcare and education  IoE has the potential to transform India and we believe this is a big opportunity for us as well as our partners. According to Gartner, India will remain the worlds fastest growing IT market in 2016 and we expect this to continue drive growth for Cisco and our partners.",
BotBeat: This weeks top botstories,"VentureBeats Bots Channel tracks all the important and interesting news related to the exploding field of bots and messaging. And each week we selectthe top stories and present them inin our free weekly newsletter, BotBeat.We include news stories by VentureBeat staff, guest articles from leading figures in the bots community, and a good number of posts from a wide variety of outlets.You can subscribe to our BotBeat newsletter to receive this information in your inbox every Thursday. Heres this weeks newsletter: President Obamas bot debuted this week . You know bots have arrived when the best known person on the planet gets one. However you may feel about the bot or the President, its a big moment for a technology that wasbarely onanyones radar a year ago. Also in top news: Studies show people use only 5 apps on their smartphones . One of the more popular posts this week was 5 reasons chatbots willrevolutionize the way we do business . Another popular post wasby Slacks director of developer relationsAmir Shevat in which he explored the 7 things about bots most people get completely wrong . Shevat feels pretty strongly about #2, the myth that bots are easier to build than apps. In A.I., deep learning startup Nervana was acquired by Intel for more than $350 million, and Interactions raised $56 million to advance its efforts to bring NLP and AI to customer care. We also learned about funding for bot and A.I.-maker Koko, which plans to use A.I. to put human empathy inside every virtual assistant . In the live chat room space, Boomtrain acquired Nudgeshop and Smooch raised $7.6 million . Finally, we said thislast week but were going to continue to repeat it: We want to hear from you. Were better with you.Send guest post suggestions to John Brandon andnewstips to Khari Johnson . Studies show people use only 5 apps on their smartphones  According to a recent survey based report fromForrester Research, US and UK smartphone ownersuse an average of 24 apps per month but spend more than 80 percent of their [in app] time on just five apps. Read more President Obama now has a Facebook Messenger bot  President Obama has read 10 letters a day since entering office in 2009, he said. Until now, letters could be sent in the mail and messages through the White House website. Read more Koko raises $2.5 million to put human empathy inside every virtual assistant  Immersion in a 360-degree landscape can, indeed, create empathy, but so too can plain text, argues the startup Koko. Read more 7 things about bots most people get completely wrong  With every new technology and paradigm, there are a lot of misconceptions.Amir Shevat, Director of Developer Relations at Slack, sets the record straight about the most common ones concerning bots. Read more 4 questions chatbot entrepreneurs need to ask themselves  Roger Chen from Genacast Ventures says anyone making a new chatbot  those who want to actually turn their bot into a business that generates revenue  need to ask four critical questions. Read more Chat company Smooch raises $7.6 million  Often seen in the bottom right hand corner of websites, Smooch conversations can automatically be transferred and synced between Facebook Messenger, Line, WeChat, Twilio, and other chat platforms. Read more Can chatbots help build your next website? (TechCrunch)  Small businesses have their pick of affordable DIY website-building platforms, but these no coding skills required platforms struggle to acquireand retain customers. (via TechCrunch) Read more 6 reasons to think very carefully before using chatbots (Inc.)  The more you wait and watch, the less youll be able to not only be where people are, but also remove friction in driving sales and customer happiness. (via Inc.) Read more Would you want to talk to a machine? (BBC)  We might regard our semi-intelligent smartphone assistants with a mixture of affection and frustration, but our attempts at getting answers from them are going to be just the start of a much bigger conversation. (via BBC) Read more Introduction: Deep learning for chatbots, part 1 (Open Data Science)  Many companies are hoping to develop bots to have natural conversations indistinguishable from human ones, and many are claiming to be using NLP and Deep Learning techniques to make this possible. But with all the hype around AI its sometimes difficult to tell fact from fiction. (via #ODSC) Read more Want to keep up with all things bots? Sign up for the BotBeat weekly newsletter .",
Googles Russian Ad Buy Blocked On Technicality; Putins Spanner In The Works?,"Russias FAS anti-trust authority has blocked Google (NSDQ: GOOG) from gaining a foothold in the countrys booming online advertising business. Top-three portal Rambler in July agreed to sell its Begun contextual advertising firm to Google for $140 million. But the authorities on Thursday said Google did not provide all the necessary information to clarify financial aspects of the deal. A translation : (There was) no documented information about individuals that may influence the business group Google, nor a complete list of persons belonging to the group Google, including registered and/or outside Russia. The lack of complete information about the group Google does not fully reflect the effects of the transaction, but may also indicate a limitation of competition due to a decrease in the number of business entities. Its either a cock-up (Google got the paperwork wrong) or a conspiracy (might there be those who wish to keep Russias nascent market for domestic eyes only?). President Putin is reluctant to let the US company dominate Russia as it does elsewhere, a Rambler source told business daily Vedomosti . Either way, its a further regulatory blow to Google, which this month said it would delay its deal to supply ads to Yahoo (NSDQ: YHOO) after all, while DoJ negotiations continue. Thats currently drawing close attention from the department and is likely to get the same from the European Commission. Rambler was due to buy from investor Finam the 49.1 percent of Begun it didnt own, then flog it to Mountain View. Googles now studying the response and considering a re-submission.",
STOCKS GO NOWHERE: Here's what you need to know,"REUTERS/Brendan McDermid Stocks finished the final day of the month - but the first week of a shortened holiday trading week - with a mixed finished after rallying last week during some of the lowest trading volume days of 2016. First, the scoreboard: Dow: 17,802, -71, (-0.4%) S&P 500: 2,098, -1, (-0.05%) Nasdaq: 4,948, +14, (+0.3%) WTI crude oil: $49, -0.7% 10-year Treasury: 1.844% US Economy It's a busy week for US economic data and Tuesday got us started with five pieces of headline economic data to start the week. Kicking things off this morning was the April report on personal income and spending , which showed incomes rose 0.4% in April - in-line with expectations - while spending rose 1%, the biggest one-month jump in six years and more than the 0.7% increase that was expected. This report also contained the Fed's preferred ""core"" PCE inflation reading, which excludes the more volatile costs of food and and is part of the prices measure in the quarterly GDP report, which showed prices rose 1.6% over last year in April. The Fed is targeting 2% inflation. ""Net, net, consumers picked up the pace in April so you know the entire economy cannot be too far behind,"" said MUFG's Chris Rupkey following the report. ""They were much less cautious, and much less uncertain, the presidential primaries be damned."" Following the income and spending report was the March reading on home prices from S&P/Case-Shiller , which showed home prices in the US rose 0.85% month-on-month and 5.43% over the prior year. ""The economy is supporting the price increases with improving labor markets, falling unemployment rates and extremely low mortgage rates,"" said David Blitzer, chairman of the index committee at S&P Down Jones Indices. The Chicago PMI reading for May fell to 49.3, indicating a slight contraction in manufacturing activity in the American Midwest during the month. The Conference Board's consumer confidence index for May fell to 92.6 from 94.7 last month, widely missing expectations for a reading of 92.6. Lynn Franco, director of economic indicators at The Conference Board said this report indicated that, ""consumers remain cautious about the outlook for business and labor market conditions."" Dallas, Millennials Elsewhere in economic data on Tuesday, the Dallas Fed's May report on manufacturing was another stinker. The reading came in at -20.8, indicating continued contraction in economic activity in the region which has been severely impacted by the decline in oil prices seen over the last nearly two years now. Of note in this report, however, was commentary from one business owner who just can't even with the millennials in their workplace. ""We have a serious productivity problem with office workers and estimated that less than 50 percent of their time is spent on value-creating business activities. The younger workers are often off task, engaged on social media, on the internet, texting on phones and other unproductive activities ,"" this executive said. These comments came as part of a longer riff on how the Department of Labor's new overtime rules will require employers to pay overtime to anyone making less than $47,476 per year, double the previous threshold. This executive's complaint added that all these lazy millennials, basically, will now need to be micromanaged since they can't, it seems, just sit at work for more than 40 hours sort of half-doing the work they're supposed to without being paid for it. Also in labor news, the Verizon labor strike that saw 40,000 employees walk off the job during April and May could impact Friday's jobs report . Jesse Hurwitz at Barclays cautioned that there isn't necessarily a one-to-one equivalency between striking workers and the impact to Friday's headline payroll number due to the hiring of temporary workers, though Bloomberg expectations - currently for payroll gains fo 160,000 - reflect some expected impact. Trump Presumptive Republican nominee for president Donald Trump held a wild press conference on Tuesday. But looking past the sort of day-to-day drama of Trump's out-of-nowhere rise from laughingstock of the campaign to one vote away from the White House, Business Insider's Josh Barro argued in a great column on Tuesday that Trump, for those of you who think about things in financial market equivalencies, is the ultimate tail risk candidate. ""Trump calls for a huge risk premium, because while he probably wouldn't be a disastrous president, the low-probability disasters he might cause would be immensely costly,"" Josh writes. ""Some of them involve nuclear weapons and global mass deaths. Pricing those risks in properly should push his share price comfortably below Clinton's, even if you think she is very bad."" Here's a fun chart: Josh Barro/Business Insider Like any risky investment, a Trump presidency presents a range of possible outcomes, some worse than others. Earlier this month I argued that Trump , for the political world, represents the learning of a lesson financial markets (in theory!) learned from the meltdown of Long-Term Capital Management in 1998. Which is another way of saying Trump broke the model and proved that ""The Party Decides"" sorts of political maxims about what can and cannot happen in politics do not apply absolutely. Josh's column takes this argument a bit further, looking at what he thinks would be the actual distribution of outcomes inside of a Trump presidency. You might disagree with any or all of Josh's argued outcomes under a Trump administration, but it is this sort of distributional thinking that I expect will become a major part of the discussion in the coming months.  Additionally Southern US cities present the biggest opportunity for Uber and Lyft to change your life . US companies have issued $517 billion worth of debt in the last year . Saudi Arabia might pull a Qatar (they're issuing debt). India's GDP is literally (literally!) unbelievable . The US government has crushed merger activity this year . The next iPhone is going to be a snooze-fest .   NOW WATCH: Richard Branson tells the story behind his famous kitesurfing photos      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', 'xnYzc2cTptuq5EHsOyKUXsDzc9JMre3p',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
"Jupitermedia: Media Analyst, NYC","The media analyst is an authority on how the Internet and other emerging technologies are impacting the television, film, music and publishing industries. He/she advises clients on strategic issues such as customer acquisition and retention, audience segmentation, online revenue strategies and online programming and marketing.",
Here's a super-quick guide to what traders are talking about right now,"Thomson Reuters Traders work on the floor of the NYSE Via Dave Lutz, head of ETFs at JonesTrading, here's a super-quick guide to what traders are talking about right now: Good Morning! US Futures are retreating 30bp right now, as falling commodities outweigh M&A Headers (PFE for MDVN; ChinaChem gets SYT approval). Over in Europe, all major exchanges firmly in the red - led by the DAX dropping nearly 1%. Miners under pressure on falling metal prices and Tech retreating from the recent pop, but EU banks continue to outperform tho, which has the periphery nearing unchanged. FTSE is off 50bp as those miners get clubbed in London. Volumes light tho, with most exchanges trading 20-30% light to trend. Quiet overnight in Asia, China dropped 80bp, with Shenzen off 1.3% on profit-taking - Aussie lost 20bp as banks retreated, while Nikkei managed a 30bp rally as the Yen fell. Thanks to Vice Chair Stanley Fischer's hawkish comments last night, US Yields are all higher, with that ""Policy Sensitive"" 2YY hitting 2month highs and nearing the 200dma into Jackson Hole later this week. The DXY is stronger, weighing on the commodity complex - with Base Metals getting whacked despite Ore higher in China - Silver, Nickel and Copper all off 1%+ while the stringer greenback hits Gold for 50bp. The Oil complex is getting whacked for nearly 3% tho on headers of a Nigeria Cease-Fire and a ramp Iraq exports. Natty is jumping 2% tho as cooler weather grips the north-east. Sorts are mostly weaker, with corn and Wheat falling nearly 1% early. Ahead of us today, we get the Chicago Fed Nat Activity Index at 8:30 - the ECB Publishes Weekly QE Data at 9:30 - while the results of the BOE's latest bond-buying operation occur around 9:50. At 11, German Chancellor Merkel, French President Hollande and Italian Prime Minister Renzi hold a presser - while at 2pm we get the Brazil Trade Balance. At 2:30 today the Spot WTI Contract Rolls. Big focus overnight as Kuroda Speaks at BOJ's Fintech Conference   NOW WATCH: EX-UNDERCOVER DEA AGENT: What I did when drug dealers asked me to try the product      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', 'w1MGxlMjE6hH45aq4Ag4Q590qZgMWztE',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
These were the 10 biggest European tech stories thisweek,"Happy Friday! Heres an overview of the 10 biggest European tech news items for this week: 1) SoftBank announced its intent to acquire British chip designer ARM , the countrys biggest listed technology company, for a total of 24.3 billion (approximately 29 billion). Massive deal. 2) Spotify aims to go public in the second half of next year. 3) MasterCard has acquired 92.4% of London-based payment systems company VocaLink for about 700 million (approximately $920 million). VocaLink operates key payments technology platforms on behalf of UK payment schemes, including BACS, Faster Payments and LINK (the UKs cash machines network). 4) An agreed $1.24 billion takeover of Norwegian online browser and advertising company Opera Software by a consortium of Chinese Internet firms has failed . Instead, the consortium will acquire only certain parts of Operas consumer business, including its mobile and desktop browsers, for $600 million. 5) Square has started up UK operations for its first European foray. 6) Rocket Internets Global Fashion Group this week closed a 330 million funding round at a 1 billion valuation, down from about 3 billion only a year ago. 7) Tech billionaire Peter Thiel has increased his investment in European fintech startup Deposit Solutions and backed another fintech startup (nextmarkets) from Cologne, Germany. 8) French music streaming service Deezer launched to the masses in the United States this week, stiffening the competition in an already-crowded market. 9) Berlin-based fintech startup Number26 changes its name to N26, and has obtained a full banking license to operate in Europe. 10) The French data protection authority on Wednesday ordered Microsoft to stop collecting excessive data on users of its Windows 10 OS and serving them personalised ads without their consent. Bonus link:  Can Europe innovate a way out of its lost decade? You can subscribe to Tech.eus newsletter here .",
Deals of the day- Mergers and acquisitions,"  July 18 The following bids, mergers,
acquisitions and disposals were reported by 1300 GMT on Monday: ** Wells Fargo & Co has agreed to buy an 11-storey
office development project in London's City financial district
from HB Reavis, the U.S. bank said on Monday, one of the largest
UK real estate deals since Britain voted to leave the European
Union. ** Taiwanese micro-audio specialist Merry Electronics
 and China's Luxshare Precision Industry Co 
have agreed a potential 600 million yuan ($90 million) tie-up
less than a month after a separate deal between the pair had
been blocked. ** The Children's Investment Fund Management (TCI) has taken
a stake in SABMiller, the second activist to buy into
the brewer in recent weeks, raising the prospect of a late push
for improved takeover terms from AB InBev. ** Canadian Natural Resources Ltd has quietly
bought up about 12,000 natural gas wells across Alberta over the
last two years, a Reuters analysis of regulatory data shows,
becoming the country's largest natural gas producer as rivals
sold assets or held steady in a tough market. ** Britain's ARM said it did not consult its
partners such as Apple, Samsung and
Qualcomm, that use its technology in billions of chips
before agreeing a $32 billion takeover from Japan's Softbank
. **ExxonMobil Corp has made a bid worth at least $2.2
billion for InterOil Corp and its stake in a rich Papua
New Guinea gasfield, winning the support of its target and
topping an offer from Australia's Oil Search Ltd.  ** Goldman Sachs Group Inc and Bain Capital Private
Equity will acquire a majority stake in unlisted cosmetics maker
Carver Korea Co Ltd, seeking to tap into the growing popularity
of South Korean beauty products in markets such as China. ** French drugmaker Sanofi has sought to address
EU antitrust concerns over its proposed takeover of German peer
Boehringer Ingelheim's consumer health unit by offering
concessions. ** Singapore state investor Temasek Holdings is set to
announce a deal this week to buy out the remaining nearly 46
percent of SMRT Corp that it doesn't already own, two
sources with knowledge of the matter said. ** Chemical tanker operator Stolt-Nielsen Ltd buys
competitor Jo Tanker's chemical tanker operations for $575
million. Deal includes 13 chemical tankers and 50 percent in 8
newbuilds.  ** EnQuest is in talks to sell a 20 percent stake in
the North Sea Kraken oilfield to Israeli conglomerate Delek
Group in a deal that could be worth $162 million, the
companies said on Monday. ** The Brazilian government has no plans to privatize
state-run oil company Petroleo Brasileiro SA and is
still deciding whether to sell its controlling share in several
units to shore up its finances, the company's Chief Executive
Officer Pedro Parente said in an interview with a local
newspaper published on Monday. ** German container line Hapag-Lloyd signed a
binding agreement with Arab peer UASC to form the world's fifth
largest shipping company in response to a global industry
crisis.  ** Specialty chemicals company Ferro Corp turned
down acquisition offers from private equity firms Apollo Global
Management LLC and CVC Capital Partners Ltd as too low,
people familiar with the matter said on Friday. ** Italian media tycoon Urbano Cairo secured 49 percent of
influential publisher RCS Mediagroup after his
takeover bid on Friday unexpectedly leapt ahead of a rival offer
by some RCS investors and private equity firm Investindustrial. ** Brazil's So Paulo state said it was considering the sale
of its controlling stake in the country's No. 4 electricity
generator, CESP, triggering a 19 percent surge in the
price of its preferred shares. ** Israel's Discount Investment Corp said on
Sunday it had agreed to sell a 40 percent stake in crop
protection maker Adama Agricultural Solutions to China National
Chemical Corp (ChemChina) for $1.4 billion, including
debt. ** Spain's Santander is examining a deal which
would involve the bank taking on more than 300 branches and
millions of customers from the Royal Bank of Scotland as
part of a five-year process, Sky News reported, citing sources. ** Canada's Enbridge and Australia's Macquarie
 are vying for a 49.9 percent stake in EnBW's 
2 billion euro ($2.23 billion) offshore wind park project Hohe
See, three people familiar with the deal told Reuters. ** A $1.2 billion takeover of Opera Software by a
group of Chinese internet firms fell through on Monday after
failing to get regulatory approval in time, sending the
Norwegian browser firm's shares to a seven-month
low. 

 (Compiled by Gayathree Ganesan in Bengaluru)",
The Daily Sprout,"San Jose City Council Approves Tesla Plant: The San Jose City Council unanimously voted to approve Tesla Motors new electric car manufacturing plant. The Council also approved a number of green building policies including energy efficiency and sustainable materials regulations  San Jose Mercury News . UK Creates Climate Change Department: UK prime minister Gordon Brown has created a Department of Energy and Climate Change which will be led by Ed Miliband because we need more government departments to tell us theres a problem  Nature . Gavin Newsom Blogs for Green Economy: San Francisco Mayor Gavin Newsom blogs: We must demand this new green economy. No more billion dollar tax breaks for the oil industry. No more drill baby drill. No more Persian Gulf oil imports  Huffington Post . Fact Checking the Debate on Climate and Oil: In case our commentary on last nights presidential debate wasnt enough, the folks over the New York Times have fact checked the debate and highlighted the energy-pertinent discrepancies  NYTs Dot Earth . Ethanol Execs Face Federal Charges, Grand Jury: Remember that North Carolina state official who wound up in jail for accepting a bribe from an ethanol developer ? Well, those ethanol executives now face charges of extortion, bribery and perjury. Ethanol has official come of age  Forbes .",
"The story of BPLs amazing comeback, riding the online wave on the shoulders of Flipkart","For Ajit G Nambiar, Chairman and Managing Director of BPL, June 2015 was a month of excitement and nervousness. BPLs new line of 32-inch televisions were going on sale on Flipkart and the one-time large appliances leader was about to see the unveiling of its first product in over 10 years. On the day of the launch, Ajit and his team of merry men were glued to their computer screens monitoring the customer response from BPLs Dynamic House office on Church Street, in the heart of Bengaluru. By end of day, the answer was clearBPL was back! Within a quarter of the launch, the five-decade-old company was contributing almost 10 per cent of sales in the television category for , and about five percent in overall appliances. BPL is now among the top three brands for Flipkart in the segments they operate in. It is one of our largest brand success stories, says Amit Bansal, Head of the large appliances category at , and the man responsible for bringing BPL on board. The partnership between Flipkart and BPL came about thanks to the lack of interest shown by Indias big-three consumer durable brandsLG, Samsung, and Sonyto try online retail. The big three didnt want to work with us. But we still needed to add value to our consumer. So how do we do that? This was the question Amit, who joined Flipkart in 2014 after spending about a decade in North America and then three years at Reliance Retail in India, had on his mind at the start of 2015. But, in true retail industry style, Amit backed up the crazy idea with market research on what consumers remember most about these brands. The core customer who buys large appliances is in the 30-35 or over-35 age group. Most of these customers said they had a TV or fridge or washing machine in their parents house that was BPL and still working well. Many even remembered their old tag line  Believe in the Best. It was very exciting to see that, recalls Amit. That is how Amit reached out to BPL and its Chairman Ajit in early-2015. . Once a market leader, BPL found itself unable to compete with then new entrants like LG, Sony, and Samsung in the 2000s. Battles within the family for control of the Group didnt help matters either. Its technology partner Sanyo was also in trouble and finally in 2006-07, BPL got out of the large appliances business. From then, BPL focused on its medical equipment vertical and the consumer electronics side focused on home automation products and solutions. But the rise of intrigued Ajit and he kept close tabs on the sector over the last couple of years. While it took a few meetings for the two companies to finalise the partnership, Ajit did not need convincing about the potential of the sector. When we stopped distribution, a lot of our dealers called us and told us they didnt understand why we stopped as the demand had not ceased. When we met Flipkart and Amit last year, we realised that online is now a better model and it was growing very fast. We decided we would get back with our brand, says Ajit. But getting back into appliance production was a completely different story. BPL had sold off most of its factories and the old local suppliers no longer existed. The world also had moved to outsourced production. This is where Flipkart stepped in. BPL and Flipkart had decided to do a trial run, with limited models and limited number of units. Large OEMs and suppliers typically do not supply such small numbers, but Flipkarts backing convinced the suppliers. BPL carved out a team from its home automation business and hired a few specialists. The BPL team worked very closely with the Flipkart team to come up with the specifications and features of the first television. But creating a product that fits customer requirements and making it available is only one part of online retail. Consumer appliances, even todays lightweight TVs, are not easy to transport to every nook and cranny of our vast country. Then, there is the added complication of installation and after-sales service. Flipkart had learnt of these issues the hard way. The e-commerce giant had first launched this category in 2012. But while sales were reasonably good, customer experience was adversely affected due to bad delivery, installation and after-sales service. Within a few months, Flipkart shut down this category. So, in 2014, when Flipkart decided to take a look at this category again, they went about building the supply chain part first. Flipkarts Amit says they realised pretty quickly that bulky goods cannot be shipped using the regular supply chain infrastructure. The company set up dedicated warehouses only for TVs and large appliances in , Kolkata, Delhi, and Mumbai. Also, the shipping is primarily handled by in-house logistics arm and a handful of specially selected platinum logistics partners. For installation and after-sales, Flipkart acquired , a startup offering appliance repair and maintenance service in late-2014. BPLs Ajit says such facilities help brands like his on the ground. With orders coming in from across the country, BPL works closely with the Jeeves team to ensure quick installations and resolutions to any customer complaints. We have weekly meetings with Jeeves and have a small window into their MIS. We ensure we are on top of things, says Ajit. With the success of the pilot, BPL has worked on its new range. A new 32-inch TV has already been launched and a 40-inch and a Smart TV are ready for launch. While televisions will be the focus segment, the company will also have a limited range of refrigerators, washing machines, and air-conditioners. We will first focus on building up the volumes, then marketing and investing in R&D and production, says Ajit. From being a legacy brand, BPL has now become a new-age online-only brand and Ajit sees this characteristic continuing. For both Flipkart and BPL, the collaboration has meant greater ambitions. With success stories like BPL, Vu and Sansui under its belt, Flipkart has set its sights on being the most dominant large-appliance online marketplace in the country. BPL, which was targeting Rs 50 crore from its first year of sales, has now revised the target to Rs 70 crore after seeing the initial response. This is the only thing the flagship company will be focussing on. That is how important the large appliances business is for BPL, says Ajit. And on what the consumer response to seeing BPL back means for him, Ajit says: I am overwhelmed.",
Earnings Announcements This Week,"A very busy earnings week: Monday, January 29 CNET Networks	CNET Verizon	VZ Getty Images	GYI Tuesday, January 30 The E.W. Scripps Company	SSP Sony Corporation	SNE Wednesday, January 31 British Sky Broadcasting Group plc	BSY.L New York Times Company	NYT Time Warner TWX Verisign VRSN Google GOOG Media General	MEG Thursday, February 1 Comcast 	CMCSA Amazon.com 	AMZN Electronic Arts 	ERTS Infospace	INSP Monster Worldwide	MNST Friday, February 2 THQ Inc 	THQI Gannett 	GCI",
